iid,id,gender,idg,condtn,wave,round,pid,piid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,age,field_cd,race,imprace,imprelig,from,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,satis_2,length,numdat_2,undergra,mn_sat,tuition
2,2,0,3,1,1,10,1,11,0,0.29,1,27,2,35,20,20,20,0,5,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,7,8,4,6,3,6,4,0,5,3,3,,,
2,2,0,3,1,1,10,2,12,0,0.18,1,22,2,60,0,0,40,0,0,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,8,5,6,6,9,6,7,3,0,5,3,3,,,
2,2,0,3,1,1,10,3,13,0,0.1,0,22,4,19,18,19,18,14,12,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,8,9,6,3,4,6,7,0,5,3,3,,,
2,2,0,3,1,1,10,4,14,1,-0.21,1,23,2,30,5,15,40,5,5,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,9,7,6,5,7,7,8,0,5,3,3,,,
2,2,0,3,1,1,10,5,15,0,0.32,0,24,3,30,10,20,10,10,20,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,6,8,7,9,7,8,8,6,1,5,3,3,,,
2,2,0,3,1,1,10,6,16,0,0.73,1,25,2,50,0,30,10,0,10,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,8,7,8,3,6,2,6,5,0,5,3,3,,,
2,2,0,3,1,1,10,7,7,0,0.6,1,30,2,35,15,25,10,5,10,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,5,9,6,7,9,8,7,0,5,3,3,,,
2,2,0,3,1,1,10,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,8,7,5,9,5,5,6,0,5,3,3,,,
2,2,0,3,1,1,10,9,19,1,0.11,1,28,2,50,0,25,10,0,15,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,6,8,9,4,5,5,6,0,5,3,3,,,
2,2,0,3,1,1,10,10,20,0,0.39,1,24,2,100,0,0,0,0,0,24,1,2,2,5,AL,65929,1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,6,7,8,7,9,8,8,7,0,5,3,3,,,
474,9,0,17,2,19,15,1,481,0,0.31,0,23,2,25,20,15,20,5,15,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,8,7,8,6,7,5,6,8,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,2,482,0,0.22,0,30,2,20,10,22,20,15,13,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,7,6,8,5,8,5,7,7,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,3,483,0,0.42,0,28,2,40,20,20,20,0,0,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,1,9,7,9,9,8,7,9,8,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,4,484,0,0.54,0,31,4,16,16,20,16,16,16,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,4,8,9,3,10,4,5,5,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,5,485,0,-0.3,1,29,1,20,15,20,15,15,15,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,4,9,8,6,6,8,6,10,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,6,486,1,0.5,0,32,3,20,20,20,15,10,15,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,1,7,9,9,6,10,9,7,8,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,7,7,0,-0.21,0,24,4,25,26,15,10,9,15,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,4,10,9,5,7,5,7,5,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,8,488,0,0.02,0,29,4,15,20,20,20,5,20,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,5,8,9,6,8,5,6,10,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,9,489,1,-0.07,0,28,2,20,10,20,20,20,0,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,1,10,9,9,9,8,9,9,10,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,10,490,0,-0.04,0,29,2,30,15,20,10,10,15,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,4,5,9,7,8,5,5,5,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,11,491,0,0.78,0,29,3,30,10,25,20,8,7,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,1,9,8,8,7,7,5,7,5,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,12,492,1,0.32,0,30,6,30,0,30,30,10,0,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,1,8,7,7,9,7,8,7,10,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,13,493,0,-0.21,0,20,4,30,10,10,30,10,10,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,9,8,8,9,8,7,8,10,0,7,2,2,washington university in st louis,,"26,377.00"
